IID,A.1,A.2,A.prob,B.1,B.2,B.prob,C.1,C.2,C.prob,DPB1.1,DPB1.2,DPB1.prob,DQA1.1,DQA1.2,DQA1.prob,DQB1.1,DQB1.2,DQB1.prob,DRB1.1,DRB1.2,DRB1.prob,DPA1.1,DPA1.2,DPA1.prob,DRB3.1,DRB3.2,DRB3.prob,DRB4.1,DRB4.2,DRB4.prob,DRB5.1,DRB5.2,DRB5.prob,ArrayID
HLA_1,02:01,02:01,0.98562172912135,08:01,13:02,0.999999922259381,06:02,07:01,0.999984812671551,03:01,04:01,0.898520224170516,02:01,05:01,0.999999854641695,02:01,02:02,0.991152831293087,03:01,07:01,0.998917106519071,01:03,01:03,0.982381010714834,00:00,01:01,0.947929719129563,00:00,01:03,0.943448491957925,00:00,00:00,0.988966619823177,1
HLA_2,03:01,30:01,0.963984918694545,51:01,58:01,0.390187359617736,03:02,16:01,0.481850243899862,17:01e1,104:01e1,0.515455968803263,02:01,05:05,0.916598882755711,02:02,03:01,0.915824776740866,07:01,13:03,0.985447515709302,01:03,02:01,0.758615914126412,00:00,01:01,0.672158645502688,00:00,01:01,0.448665218671904,00:00,00:00,0.900378245658096,2
HLA_3,24:02,30:02,0.746664136760422,18:01,44:03,0.631120708382016,03:04,05:01,0.337369351566865,02:02,04:01,0.292258148572872,05:01,05:01,0.624567903011253,02:01,02:01,0.654544999098933,03:01,03:01,0.771958526633988,01:03,02:01,0.703729133489224,02:02,02:02,0.907328352638862,00:00,00:00,0.952454602953118,00:00,00:00,0.965754926272883,2
HLA_4,02:01,32:01,0.91668154791455,15:01,40:02,0.878832184362624,02:02,04:01,0.959654191364814,02:01,03:01,0.874759451412539,01:02,05:05,0.451015957203294,03:01,03:03,0.914525139228926,07:01,11:01,0.625795823209445,01:03,01:03,0.943684769059029,00:00,02:02,0.946403073931874,00:00,01:03,0.954036266400967,00:00,00:00,0.962788927962893,3
HLA_5,02:01,24:02,0.953117422822068,07:02,51:01,0.40453986148843,07:02,14:02,0.978971992883365,02:01,04:02,0.803896067469461,01:01,01:02,0.992645901063394,05:01,06:02,0.979317704040095,01:01,15:01,0.996398644031,01:03,01:03,0.970570746637049,00:00,00:00,0.462598408407248,00:00,00:00,0.686454862333434,00:00,01:01,0.554109402671912,4
HLA_6,11:01,24:02,0.873200945218016,15:01,35:01,0.656312885613843,03:03,04:01,0.980608602526963,02:01,05:01,0.551502225254168,01:02,03:01,0.927033466496869,03:02,06:02,0.95544388193506,04:06,15:01,0.371970771046321,02:02,02:02,0.414630401034908,00:00,00:00,0.739566798417455,00:00,01:03,0.749932414414898,00:00,01:01,0.565787038252399,4
HLA_7,02:01,26:01,0.532594611603402,13:02,15:01,0.976063489017711,03:04,06:02,0.942201617424382,04:01,11:01,0.969737635842856,01:02,03:01,0.219432778188601,02:02,03:02,0.910515931975259,04:01,07:01,0.850994760227397,01:03,02:01,0.903953178522237,00:00,00:00,0.947756952640954,01:01,01:03,0.70816827832305,00:00,00:00,0.976160612293325,3
HLA_8,02:01,03:01,0.672803928048575,07:02,27:06,0.768571272201977,03:03,07:02,0.532219221279008,01:01,03:01,0.601021072468281,01:01,01:02,0.908129751512837,05:01,05:02,0.957711690763637,15:02,16:01,0.914016619510108,01:03,02:02,0.737942103437118,00:00,00:00,0.636919383939009,00:00,00:00,0.805293219228479,01:01,02:02e1,0.253822358412233,4
HLA_9,02:01,29:02,0.97377107328073,07:02,44:03,0.98359980944597,07:02,16:01,0.998948224985614,03:01,11:01,0.57933193657795,02:01,03:01,0.957419104632104,02:02,03:02,0.985886809399408,04:04,07:01,0.596814278165271,01:03,02:01,0.957891146918302,00:00,00:00,0.911495201669543,01:01,01:03,0.673542944351911,00:00,00:00,0.962222210589103,4
HLA_10,01:01,02:01,0.976177540549661,14:01,15:17,0.656397636593969,07:01,08:02,0.26855682764899,02:01,104:01e1,0.643308747370558,01:02,02:01,0.997531320776811,02:02,06:04,0.978104482413011,07:01,13:02,0.996688142589636,01:03,01:03,0.958584771470088,00:00,03:01,0.637369499370476,00:00,01:01,0.543128683042881,00:00,00:00,0.947079474828415,5
