Allele,Control,ControlFrequency,Case,CaseFrequency,Pvalue,OddsRatio
11:01,82,0.0205,215,0.05375,4.903053904908986e-72,9.746310393040236
24:02,131,0.03275,372,0.093,1.2237642180071795e-138,12.973063645645938
01:01,126,0.0315,320,0.08,4.1428443275615823e-110,10.733893557422968
02:01,239,0.05975,741,0.18525,0.0,33.05117849469314
68:01,25,0.00625,81,0.02025,2.384410322172124e-29,10.488574537540805
31:01,31,0.00775,99,0.02475,1.4608163584902494e-35,10.523468547492033
03:01,118,0.0295,317,0.07925,4.298949072183473e-112,11.335757004243492
33:01,8,0.002,21,0.00525,9.816843475817781e-08,8.02247191011236
25:01,18,0.0045,61,0.01525,1.0228005155007099e-22,10.762158324458644
26:01,34,0.0085,122,0.0305,4.477086976969266e-46,12.121532895618383
23:01,27,0.00675,88,0.022,6.350880841725181e-32,10.624756335282651
74:01,5,0.00125,10,0.0025,0.000776388874284678,6.05050505050505
30:02,10,0.0025,37,0.00925,1.109277948165665e-14,11.488058151609554
68:02,9,0.00225,30,0.0075,1.1665496215430713e-11,10.278350515463918
34:01,2,0.0005,7,0.00175,0.001325528623793305,10.566968781470292
29:02,21,0.00525,87,0.02175,1.118667837817606e-34,13.517602879048662
30:01,18,0.0045,61,0.01525,1.0228005155007099e-22,10.762158324458644
02:07,9,0.00225,35,0.00875,3.3617317249413695e-14,12.053540587219343
32:01,23,0.00575,69,0.01725,2.872811466589262e-24,9.592910848549947
34:02,5,0.00125,9,0.00225,0.0021156148778660577,5.439959636730575
66:01,2,0.0005,11,0.00275,1.065932566432575e-05,16.672396359959556
02:05,11,0.00275,42,0.0105,1.0497731160361967e-16,11.912886695767698
02:11,2,0.0005,4,0.001,0.03748227054956019,6.020080321285141
02:06,8,0.002,52,0.013,5.315631882480138e-24,20.514767932489452
69:01,1,0.00025,8,0.002,0.00010476462657169001,24.18548387096774
33:03,21,0.00525,57,0.01425,2.7561873202938843e-19,8.574609907589759
02:02,3,0.00075,10,0.0025,0.00012270307652811492,10.090909090909092
36:01,1,0.00025,8,0.002,0.00010476462657169001,24.18548387096774
11:02,2,0.0005,3,0.00075,0.10338369194793871,4.510531594784353
29:01,2,0.0005,10,0.0025,3.651557586355577e-05,15.141414141414142
24:03,1,0.00025,1,0.00025,0.4375468867204975,3.002002002002002
30:04,3,0.00075,6,0.0015,0.009916726895328009,6.030181086519114
68:17,1,0.00025,0,0.0,1.0,0.0
