Allele,Control,ControlFrequency,Case,CaseFrequency
11:01,82,0.0205,215,0.05375
24:02,131,0.03275,372,0.093
01:01,126,0.0315,320,0.08
02:01,239,0.05975,741,0.18525
68:01,25,0.00625,81,0.02025
31:01,31,0.00775,99,0.02475
03:01,118,0.0295,317,0.07925
33:01,8,0.002,21,0.00525
25:01,18,0.0045,61,0.01525
26:01,34,0.0085,122,0.0305
23:01,27,0.00675,88,0.022
74:01,5,0.00125,10,0.0025
30:02,10,0.0025,37,0.00925
68:02,9,0.00225,30,0.0075
34:01,2,0.0005,7,0.00175
29:02,21,0.00525,87,0.02175
30:01,18,0.0045,61,0.01525
02:07,9,0.00225,35,0.00875
32:01,23,0.00575,69,0.01725
34:02,5,0.00125,9,0.00225
66:01,2,0.0005,11,0.00275
02:05,11,0.00275,42,0.0105
02:11,2,0.0005,4,0.001
02:06,8,0.002,52,0.013
69:01,1,0.00025,8,0.002
33:03,21,0.00525,57,0.01425
02:02,3,0.00075,10,0.0025
36:01,1,0.00025,8,0.002
11:02,2,0.0005,3,0.00075
29:01,2,0.0005,10,0.0025
24:03,1,0.00025,1,0.00025
30:04,3,0.00075,6,0.0015
68:17,1,0.00025,0,0.0

