,IID,01:03,02:02,02:01,01:04i2,02:06
0,HLA_1,2,0,0,0,0
1,HLA_2,1,0,1,0,0
2,HLA_3,1,0,1,0,0
3,HLA_4,2,0,0,0,0
4,HLA_5,2,0,0,0,0
5,HLA_6,0,2,0,0,0
6,HLA_7,1,0,1,0,0
7,HLA_8,1,1,0,0,0
8,HLA_9,1,0,1,0,0
9,HLA_10,2,0,0,0,0
10,HLA_11,0,2,0,0,0
11,HLA_12,1,1,0,0,0
12,HLA_13,1,1,0,0,0
13,HLA_14,2,0,0,0,0
14,HLA_15,2,0,0,0,0
15,HLA_16,1,0,1,0,0
16,HLA_17,1,1,0,0,0
17,HLA_18,1,0,1,0,0
18,HLA_19,2,0,0,0,0
19,HLA_20,0,0,2,0,0
20,HLA_21,0,2,0,0,0
21,HLA_22,2,0,0,0,0
22,HLA_23,2,0,0,0,0
23,HLA_24,2,0,0,0,0
24,HLA_25,1,0,1,0,0
25,HLA_26,2,0,0,0,0
26,HLA_27,2,0,0,0,0
27,HLA_28,1,0,1,0,0
28,HLA_29,1,1,0,0,0
29,HLA_30,2,0,0,0,0
30,HLA_31,1,0,1,0,0
31,HLA_32,2,0,0,0,0
32,HLA_33,2,0,0,0,0
33,HLA_34,1,0,1,0,0
34,HLA_35,2,0,0,0,0
35,HLA_36,1,1,0,0,0
36,HLA_37,2,0,0,0,0
37,HLA_38,0,1,1,0,0
38,HLA_39,0,1,0,0,1
39,HLA_40,2,0,0,0,0
40,HLA_41,2,0,0,0,0
41,HLA_42,1,1,0,0,0
42,HLA_43,1,0,1,0,0
43,HLA_44,2,0,0,0,0
44,HLA_45,2,0,0,0,0
45,HLA_46,2,0,0,0,0
46,HLA_47,2,0,0,0,0
47,HLA_48,2,0,0,0,0
48,HLA_49,2,0,0,0,0
49,HLA_50,1,1,0,0,0
50,HLA_51,2,0,0,0,0
51,HLA_52,1,1,0,0,0
52,HLA_53,0,2,0,0,0
53,HLA_54,1,1,0,0,0
54,HLA_55,1,1,0,0,0
55,HLA_56,2,0,0,0,0
56,HLA_57,2,0,0,0,0
57,HLA_58,1,0,1,0,0
58,HLA_59,1,1,0,0,0
59,HLA_60,2,0,0,0,0
60,HLA_61,2,0,0,0,0
61,HLA_62,2,0,0,0,0
62,HLA_63,2,0,0,0,0
