,IID,00:00,02:02,01:01,03:01,02:24
0,HLA_1,1,0,1,0,0
1,HLA_2,1,0,1,0,0
2,HLA_3,0,2,0,0,0
3,HLA_4,1,1,0,0,0
4,HLA_5,2,0,0,0,0
5,HLA_6,2,0,0,0,0
6,HLA_7,2,0,0,0,0
7,HLA_8,2,0,0,0,0
8,HLA_9,2,0,0,0,0
9,HLA_10,1,0,0,1,0
10,HLA_11,1,0,1,0,0
11,HLA_12,1,0,1,0,0
12,HLA_13,0,2,0,0,0
13,HLA_14,0,1,0,1,0
14,HLA_15,1,0,1,0,0
15,HLA_16,1,0,1,0,0
16,HLA_17,1,1,0,0,0
17,HLA_18,1,0,1,0,0
18,HLA_19,1,0,1,0,0
19,HLA_20,1,1,0,0,0
20,HLA_21,2,0,0,0,0
21,HLA_22,2,0,0,0,0
22,HLA_23,2,0,0,0,0
23,HLA_24,1,1,0,0,0
24,HLA_25,1,1,0,0,0
25,HLA_26,2,0,0,0,0
26,HLA_27,1,0,0,1,0
27,HLA_28,1,0,1,0,0
28,HLA_29,2,0,0,0,0
29,HLA_30,2,0,0,0,0
30,HLA_31,2,0,0,0,0
31,HLA_32,2,0,0,0,0
32,HLA_33,1,0,0,1,0
33,HLA_34,1,0,1,0,0
34,HLA_35,2,0,0,0,0
35,HLA_36,2,0,0,0,0
36,HLA_37,2,0,0,0,0
37,HLA_38,1,0,1,0,0
38,HLA_39,2,0,0,0,0
39,HLA_40,2,0,0,0,0
40,HLA_41,2,0,0,0,0
41,HLA_42,2,0,0,0,0
42,HLA_43,2,0,0,0,0
43,HLA_44,2,0,0,0,0
44,HLA_45,2,0,0,0,0
45,HLA_46,2,0,0,0,0
46,HLA_47,0,1,1,0,0
47,HLA_48,2,0,0,0,0
48,HLA_49,1,0,1,0,0
49,HLA_50,0,1,1,0,0
50,HLA_51,2,0,0,0,0
51,HLA_52,0,0,1,1,0
52,HLA_53,2,0,0,0,0
53,HLA_54,2,0,0,0,0
54,HLA_55,2,0,0,0,0
55,HLA_56,1,0,1,0,0
56,HLA_57,1,1,0,0,0
57,HLA_58,2,0,0,0,0
58,HLA_59,2,0,0,0,0
59,HLA_60,2,0,0,0,0
60,HLA_61,0,0,2,0,0
61,HLA_62,1,1,0,0,0
62,HLA_63,2,0,0,0,0
63,HLA_64,2,0,0,0,0
64,HLA_65,0,1,1,0,0
65,HLA_66,0,0,1,1,0
66,HLA_67,1,0,1,0,0
67,HLA_68,1,1,0,0,0
68,HLA_69,2,0,0,0,0
69,HLA_70,1,1,0,0,0
70,HLA_71,2,0,0,0,0
71,HLA_72,0,0,2,0,0
72,HLA_73,1,0,1,0,0
73,HLA_74,0,0,2,0,0
74,HLA_75,0,0,2,0,0
75,HLA_76,1,0,1,0,0
76,HLA_77,1,1,0,0,0
77,HLA_78,1,0,1,0,0
78,HLA_79,1,1,0,0,0
79,HLA_80,2,0,0,0,0
80,HLA_81,1,1,0,0,0
81,HLA_82,0,0,2,0,0
82,HLA_83,1,0,1,0,0
83,HLA_84,2,0,0,0,0
84,HLA_85,1,0,1,0,0
85,HLA_86,2,0,0,0,0
86,HLA_87,1,0,0,1,0
87,HLA_88,2,0,0,0,0
88,HLA_89,2,0,0,0,0
89,HLA_90,0,1,1,0,0
90,HLA_91,2,0,0,0,0
91,HLA_92,2,0,0,0,0
92,HLA_93,1,1,0,0,0
93,HLA_94,2,0,0,0,0
94,HLA_95,1,0,1,0,0
95,HLA_96,1,0,1,0,0
96,HLA_97,1,1,0,0,0
97,HLA_98,1,1,0,0,0
98,HLA_99,1,1,0,0,0
99,HLA_100,2,0,0,0,0
100,HLA_101,1,0,1,0,0
101,HLA_102,1,0,1,0,0
102,HLA_103,2,0,0,0,0
103,HLA_104,1,1,0,0,0
104,HLA_105,1,1,0,0,0
105,HLA_106,1,0,1,0,0
106,HLA_107,2,0,0,0,0
107,HLA_108,2,0,0,0,0
108,HLA_109,2,0,0,0,0
109,HLA_110,2,0,0,0,0
110,HLA_111,2,0,0,0,0
111,HLA_112,2,0,0,0,0
112,HLA_113,1,0,1,0,0
113,HLA_114,1,1,0,0,0
114,HLA_115,1,0,1,0,0
115,HLA_116,1,1,0,0,0
