Allele,Control,ControlFrequency,Case,CaseFrequency,Pvalue,OddsRatio
11:01,82,0.0205,215,0.05375,0.2961062316977696,0.8642553750492622
24:02,131,0.03275,372,0.093,0.5818807417087843,0.9390010108403918
01:01,126,0.0315,320,0.08,0.09287341349985986,0.8282397536128879
02:01,239,0.05975,741,0.18525,0.6405554487773597,1.0444525940866938
68:01,25,0.00625,81,0.02025,0.8203684936467198,1.0822199383350461
31:01,31,0.00775,99,0.02475,0.8370080664766033,1.066717816993028
03:01,118,0.0295,317,0.07925,0.2910963077940182,0.8831310763943726
33:01,8,0.002,21,0.00525,0.8294724132799056,0.8741188318227593
25:01,18,0.0045,61,0.01525,0.6959885445034575,1.132320139125175
26:01,34,0.0085,122,0.0305,0.39601068235299963,1.2043903037239914
23:01,27,0.00675,88,0.022,0.7443637542171035,1.089031339031339
74:01,5,0.00125,10,0.0025,0.5488871463171907,0.6655518394648829
30:02,10,0.0025,37,0.00925,0.6154713140520569,1.2362470469119136
68:02,9,0.00225,30,0.0075,0.8549207140234854,1.1122334455667788
34:01,2,0.0005,7,0.00175,1.0,1.167056465085199
29:02,21,0.00525,87,0.02175,0.21474865558000208,1.392329949487519
30:01,18,0.0045,61,0.01525,0.6959885445034575,1.132320139125175
02:07,9,0.00225,35,0.00875,0.6002280607456878,1.2997938916994567
32:01,23,0.00575,69,0.01725,1.0,1.0
34:02,5,0.00125,9,0.00225,0.3587521088225851,0.5987963891675026
66:01,2,0.0005,11,0.00275,0.5379463229803831,1.8364001338240215
02:05,11,0.00275,42,0.0105,0.5270414405472814,1.2765996680803984
02:11,2,0.0005,4,0.001,0.6438946038863057,0.6662216288384513
02:06,8,0.002,52,0.013,0.03525040532432033,2.1872455902306647
69:01,1,0.00025,8,0.002,0.4655298120290691,2.671122994652406
33:03,21,0.00525,57,0.01425,0.6926260150895545,0.9029173341099946
02:02,3,0.00075,10,0.0025,1.0,1.1114827201783724
36:01,1,0.00025,8,0.002,0.4655298120290691,2.671122994652406
11:02,2,0.0005,3,0.00075,0.6042943209119677,0.4994994994994995
29:01,2,0.0005,10,0.0025,0.7415084324336242,1.6688963210702341
24:03,1,0.00025,1,0.00025,0.4375468867204975,0.33311103701233746
30:04,3,0.00075,6,0.0015,0.6993605192639925,0.665998663994656
68:17,1,0.00025,0,0.0,0.24999999999832218,0.0
