Allele,Control,ControlFrequency,Case,CaseFrequency,Pvalue,OddsRatio
15:01,69,0.01725,201,0.05025,0.827322971161787,0.968933004023176
35:01,69,0.01725,211,0.05275,0.942980173646119,1.0207855914280222
08:01,84,0.021,193,0.04825,0.03697157072708513,0.749775221809422
44:02,46,0.0115,183,0.04575,0.08365894364194809,1.3472704542297542
40:02,24,0.006,63,0.01575,0.6164370893896295,0.8723186925434117
40:06,11,0.00275,36,0.009,0.867227940273686,1.0920132499079866
40:01,42,0.0105,162,0.0405,0.15791169951112347,1.3020235578375112
27:05,20,0.005,92,0.023,0.07748224859923337,1.5502063273727649
44:03,28,0.007,155,0.03875,0.0015741436708547802,1.8912879738890285
51:01,76,0.019,172,0.043,0.040624058606399074,0.7394476289734236
37:01,10,0.0025,29,0.00725,1.0,0.9663412992258499
35:02,7,0.00175,34,0.0085,0.28023240799045335,1.6261439167710239
39:06,7,0.00175,11,0.00275,0.17763360039550385,0.5220570663862735
07:02,114,0.0285,320,0.08,0.5187304547087663,0.9279916208431527
49:01,11,0.00275,51,0.01275,0.2361779168604522,1.5548876352538612
41:01,9,0.00225,12,0.003,0.0744724380933436,0.4422132976349844
52:01,16,0.004,40,0.01,0.5353752405441315,0.831081081081081
45:01,6,0.0015,25,0.00625,0.5391274111359237,1.392156862745098
53:01,11,0.00275,28,0.007,0.7099390259522174,0.8470573840694972
58:01,20,0.005,47,0.01175,0.39274189509277657,0.7798848628513376
56:01,9,0.00225,28,0.007,1.0,1.037385972783012
14:02,19,0.00475,63,0.01575,0.7969532329562774,1.1075211010160744
57:01,27,0.00675,88,0.022,0.7443637542171035,1.089031339031339
55:01,13,0.00325,35,0.00875,0.7381528568776792,0.8962251913348035
18:01,46,0.0115,124,0.031,0.5268619942403343,0.8941766946846466
57:03,4,0.001,8,0.002,0.5090991302560574,0.6657754010695187
15:02,4,0.001,15,0.00375,0.7971781899720217,1.2512562814070352
39:01,15,0.00375,57,0.01425,0.4926033306423322,1.271831464492015
44:27,1,0.00025,0,0.0,0.24999999999832218,0.0
38:02,4,0.001,11,0.00275,1.0,0.9163599866175979
15:18,6,0.0015,12,0.003,0.4169541606943964,0.6653279785809906
13:02,30,0.0075,70,0.0175,0.24326013159383794,0.7724687144482366
07:05,5,0.00125,10,0.0025,0.5488871463171907,0.6655518394648829
46:01,14,0.0035,32,0.008,0.39358799210174644,0.7593376973430882
50:01,13,0.00325,33,0.00825,0.6086381064020161,0.8444427160301781
41:02,2,0.0005,12,0.003,0.5388657813228939,2.004016064257028
54:01,7,0.00175,17,0.00425,0.6383260337812702,0.8084382931851922
35:03,17,0.00425,31,0.00775,0.0958094612703555,0.6037485388227369
38:01,16,0.004,54,0.0135,0.7810282529248946,1.1272912423625254
15:03,10,0.0025,16,0.004,0.11564700027296909,0.5308310991957105
51:06,2,0.0005,1,0.00025,0.15617964646189844,0.1663887962654218
15:10,4,0.001,8,0.002,0.5090991302560574,0.6657754010695187
27:03,2,0.0005,1,0.00025,0.15617964646189844,0.1663887962654218
14:01,11,0.00275,18,0.0045,0.12971336268707698,0.5427108103164441
15:17,4,0.001,13,0.00325,1.0,1.0836960160696352
67:01,4,0.001,11,0.00275,1.0,0.9163599866175979
35:08,4,0.001,15,0.00375,0.7971781899720217,1.2512562814070352
55:02,5,0.00125,15,0.00375,1.0,1.0
13:01,4,0.001,15,0.00375,0.7971781899720217,1.2512562814070352
39:24,2,0.0005,0,0.0,0.06245311327787657,0.0
15:35,3,0.00075,5,0.00125,0.4212581322947298,0.5548135781858653
35:05,1,0.00025,6,0.0015,0.6882517482482684,2.002004008016032
15:11,1,0.00025,5,0.00125,1.0,1.667779632721202
15:16,1,0.00025,4,0.001,1.0,1.3337783711615487
58:02,2,0.0005,7,0.00175,1.0,1.167056465085199
48:01,1,0.00025,25,0.00625,0.010424034336529511,8.394957983193278
81:01,2,0.0005,8,0.002,1.0,1.3342245989304813
39:05,1,0.00025,0,0.0,0.24999999999832218,0.0
44:05,1,0.00025,20,0.005,0.039151448230878336,6.704697986577181
27:04,2,0.0005,1,0.00025,0.15617964646189844,0.1663887962654218
