Allele,Control,ControlFrequency,Case,CaseFrequency,Pvalue,OddsRatio
03:03,69,0.01725,192,0.048,0.6047789305300629,0.9225814443205748
04:01,111,0.02775,351,0.08775,0.6477496830430722,1.0612163692571395
05:01,49,0.01225,185,0.04625,0.16109318009915424,1.2754920796027114
07:01,132,0.033,329,0.08225,0.05914911302153697,0.8099678930828313
01:02,56,0.014,170,0.0425,1.0,1.0126198889449773
08:01,16,0.004,76,0.019,0.11229082908643839,1.5984952120383038
03:04,62,0.0155,245,0.06125,0.04649617982717691,1.3454130320238862
02:02,36,0.009,134,0.0335,0.2772343360145797,1.2519965883538808
16:01,23,0.00575,97,0.02425,0.16344560150630771,1.41935628809777
06:02,85,0.02125,243,0.06075,0.6899164542708989,0.9487934455610318
14:02,22,0.0055,52,0.013,0.344100746818953,0.7841371654126064
07:02,157,0.03925,437,0.10925,0.38304996803964964,0.9155050684533202
17:01,9,0.00225,32,0.008,0.7208797047179507,1.187181790955376
12:02,18,0.0045,38,0.0095,0.21553849514735912,0.6999024683021983
08:02,30,0.0075,80,0.02,0.5773073490796328,0.8858447488584474
15:02,37,0.00925,75,0.01875,0.05907626180044186,0.6673596673596673
12:03,52,0.013,139,0.03475,0.4932548299610092,0.8857311859758557
07:04,9,0.00225,37,0.00925,0.4938445898037014,1.374995312558593
15:05,3,0.00075,7,0.00175,0.7181740272355435,0.7772580465530683
03:02,11,0.00275,24,0.006,0.4319293282841389,0.7250733137829912
02:10,5,0.00125,9,0.00225,0.3587521088225851,0.5987963891675026
12:04,1,0.00025,1,0.00025,0.4375468867204975,0.33311103701233746
18:01,1,0.00025,7,0.00175,0.6882257236792422,2.3364517206815902
16:02,4,0.001,11,0.00275,1.0,0.9163599866175979
16:04,1,0.00025,2,0.0005,1.0,0.6664442961974649
