Allele,Control,ControlFrequency,Case,CaseFrequency,Pvalue,OddsRatio
02:01,158,0.0395,469,0.11725,0.9200028868532047,0.9874968116869802
05:01,95,0.02375,261,0.06525,0.4419869161772575,0.9077650314175362
04:01,400,0.1,1107,0.27675,0.08308472904746192,0.8771790808240888
03:01,54,0.0135,221,0.05525,0.03614712004386215,1.393160342782509
01:01,69,0.01725,184,0.046,0.40922872475039873,0.8816287878787878
04:02,79,0.01975,291,0.07275,0.10110857471846169,1.252323478699693
13:01,24,0.006,97,0.02425,0.20148030220952312,1.358824204845562
14:01,14,0.0035,35,0.00875,0.618214991939131,0.8313659359190556
19:01e1,4,0.001,20,0.005,0.47910915211407706,1.6711409395973154
104:01e1,13,0.00325,57,0.01425,0.2647092207226482,1.4704775346977181
16:01,6,0.0015,10,0.0025,0.252349421464698,0.5540691192865106
17:01e1,31,0.00775,54,0.0135,0.016176549609825074,0.5729584127192694
131:01,1,0.00025,3,0.00075,1.0,1.0
23:01,2,0.0005,1,0.00025,0.15617964646189844,0.1663887962654218
10:01,17,0.00425,41,0.01025,0.4463655587144405,0.8012046995209033
11:01,11,0.00275,61,0.01525,0.05502404841877189,1.8660954560920535
15:01,7,0.00175,14,0.0035,0.4469035543372757,0.6651038178164769
09:01,5,0.00125,19,0.00475,0.8141846799637065,1.2683663200268367
02:02,2,0.0005,13,0.00325,0.38353445738808645,2.171744224974891
06:01e1,5,0.00125,24,0.006,0.39624855074100074,1.6048387096774193
09:02,1,0.00025,1,0.00025,0.4375468867204975,0.33311103701233746
105:01i1,1,0.00025,5,0.00125,1.0,1.667779632721202
